Collection,Device Name,SSID,BSSID,Frequency,Technology Band,SSID Count [AVG],RSSI [AVG],Capability,Status,SSID Count [SUM]
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,ATTtNrDgC4,90:d0:92:a8:72:9c,5805,WiFi (5 GHz),178,-81,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],,6591
Day2-VZN-MNO-4G-IN,QualiPoc_083101,Eagle,d4:20:b0:cf:f9:cd,5520,WiFi (5 GHz),180,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,5606
Day3_ATT-NH-IN-L1,QualiPoc_083101,HEATKTE,d4:20:b0:d6:ec:36,5540,WiFi (5 GHz),175,-84,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,2277
Day3_TMO-NH-L1,QualiPoc_083101,BYOD@Mercy,50:5c:88:03:03:54,2412,WiFi (2.4 GHz),149,-75,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,749
Day2-TMO-MNO-4G-IN,QualiPoc_083101,Eagle,d4:dc:09:78:74:0b,5805,WiFi (5 GHz),161,-73,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,4999
Day1-TMO-NH-IN,QualiPoc_083101,ScenXus-b072bfbc443f,b2:72:bf:bc:44:3f,2422,WiFi (2.4 GHz),127,-67,[ESS],,1524
Day3_ATT-NH-IN-L2,QualiPoc_083101,HEATKTE,d4:20:b0:e2:44:f6,5280,WiFi (5 GHz),169,-85,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,9154
Day1-ATT-MNO-DEF-IN,QualiPoc_083101,Eagle,d4:dc:09:63:55:1b,5805,WiFi (5 GHz),152,-74,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,1675
Day1-WIFI-IN,QualiPoc_083101,Eagle,d4:20:b0:d6:ee:ad,5700,WiFi (5 GHz),185,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,2220
Day1-WIFI-OUT,QualiPoc_083101,MercyInternal,50:5c:88:03:03:51,2412,WiFi (2.4 GHz),40,-70,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,162
